Round,Opponent,Result,Venue,GF,GA,xG,xGA,Poss,Avg_GF,Avg_GA,Avg_xG,Avg_xGA,Avg_Poss,Label,Form_Score
16,Liverpool,L,Home,1,2,1.7,1.2,24,0.6666666666666666,1.6666666666666667,1.1666666666666665,1.2666666666666666,55.0,-1,5.0
16,Chelsea,W,Home,2,0,1.2,0.9,29,1.3333333333333333,1.0,2.1333333333333333,1.4666666666666668,42.666666666666664,1,8.222222222222221
16,West Ham,W,Home,5,0,2.3,1.3,63,3.6666666666666665,2.0,2.1999999999999997,1.2666666666666664,54.0,1,6.444444444444445
16,Crystal Palace,W,Away,2,1,1.2,1.7,76,2.3333333333333335,1.3333333333333333,1.4666666666666668,1.1666666666666667,59.0,1,8.88888888888889
16,Manchester City,L,Home,1,2,0.3,1.6,35,2.0,2.6666666666666665,0.5333333333333333,2.3000000000000003,35.0,-1,5.111111111111111
16,Luton Town,W,Away,2,1,1.6,0.3,65,1.3333333333333333,1.6666666666666667,1.5000000000000002,1.1333333333333333,56.0,1,6.222222222222222
16,Bournemouth,L,Home,0,3,1.1,1.5,68,1.6666666666666667,0.6666666666666666,2.2666666666666666,2.1,45.333333333333336,-1,8.444444444444445
16,Tottenham,L,Away,1,4,1.7,3.8,44,1.6666666666666667,1.3333333333333333,2.1,1.4333333333333333,58.0,-1,7.111111111111112
16,Wolves,D,Away,1,1,1.3,1.2,32,0.6666666666666666,3.0,0.9666666666666667,1.5,48.333333333333336,0,4.222222222222222
16,Brentford,W,Home,1,0,0.8,0.6,41,0.3333333333333333,3.3333333333333335,0.7333333333333333,2.1333333333333333,36.0,1,4.777777777777778
16,Newcastle Utd,W,Home,4,1,3.8,1.7,56,1.6666666666666667,2.3333333333333335,1.5333333333333332,2.166666666666667,60.333333333333336,1,4.111111111111111
16,Fulham,L,Away,0,5,1.3,2.3,37,1.6666666666666667,1.0,1.4000000000000001,1.3333333333333333,43.666666666666664,-1,8.333333333333334
16,Nott'ham Forest,D,Home,1,1,1.2,1.3,68,1.3333333333333333,1.6666666666666667,0.9666666666666667,2.1999999999999997,44.666666666666664,0,6.222222222222222
17,Brighton,W,Home,2,0,2.3,0.7,49,2.0,1.6666666666666667,2.1333333333333333,0.6,61.333333333333336,1,8.222222222222221
17,Brentford,W,Away,2,1,1.4,0.5,66,1.3333333333333333,0.6666666666666666,1.1999999999999995,1.3333333333333333,49.0,1,9.333333333333334
17,Luton Town,W,Home,4,3,2.3,2.0,59,2.3333333333333335,0.6666666666666666,1.7666666666666668,0.9333333333333336,37.0,1,9.333333333333334
17,Aston Villa,L,Home,1,2,0.5,1.4,34,1.3333333333333333,1.3333333333333333,1.7333333333333334,0.8333333333333331,55.333333333333336,-1,4.666666666666667
17,Arsenal,L,Away,0,2,0.7,2.3,51,1.6666666666666667,1.6666666666666667,1.7333333333333334,1.3999999999999997,67.0,-1,7.333333333333333
17,Everton,L,Home,0,2,0.7,1.4,61,2.0,0.6666666666666666,1.0999999999999999,1.266666666666667,46.666666666666664,-1,5.555555555555555
17,Sheffield Utd,W,Home,2,0,3.1,0.4,78,1.3333333333333333,2.0,1.5,2.1333333333333333,52.666666666666664,1,5.111111111111111
17,Manchester City,D,Away,2,2,1.8,1.6,26,0.6666666666666666,1.6666666666666667,1.2,1.3666666666666665,42.666666666666664,0,4.0
17,Burnley,W,Away,2,0,1.4,0.7,39,2.0,0.0,1.7333333333333332,1.0333333333333334,35.333333333333336,1,8.88888888888889
17,Newcastle Utd,L,Away,0,3,0.3,3.5,30,4.333333333333333,1.3333333333333333,2.0,1.2333333333333332,55.0,-1,7.777777777777778
17,Manchester Utd,D,Home,0,0,2.3,0.8,68,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.3,70.66666666666667,0,9.444444444444445
17,Bournemouth,L,Away,3,4,2.0,2.3,41,1.6666666666666667,3.0,0.3333333333333333,2.3000000000000003,33.666666666666664,-1,4.444444444444445
17,Crystal Palace,D,Home,2,2,1.6,1.8,74,1.6666666666666667,1.6666666666666667,1.6000000000000005,1.0333333333333332,58.0,0,6.777777777777779
17,Liverpool,D,Away,0,0,0.8,2.3,32,0.6666666666666666,1.6666666666666667,1.8999999999999997,1.8,51.666666666666664,0,6.888888888888889
17,Fulham,W,Home,3,0,3.5,0.3,70,0.6666666666666666,2.3333333333333335,1.8666666666666665,2.533333333333333,54.666666666666664,1,5.777777777777777
17,Tottenham,L,Home,0,2,1.3,1.5,34,0.3333333333333333,2.3333333333333335,0.7666666666666666,1.4666666666666668,43.333333333333336,-1,4.222222222222222
17,Chelsea,L,Away,0,2,0.4,3.1,22,0.3333333333333333,2.3333333333333335,0.7333333333333333,1.3666666666666665,34.333333333333336,-1,5.555555555555555
17,Nott'ham Forest,W,Away,2,0,1.5,1.3,66,2.6666666666666665,2.0,2.033333333333333,2.166666666666667,58.333333333333336,1,5.777777777777777
17,Wolves,W,Home,3,0,1.1,0.7,45,1.0,2.3333333333333335,1.5333333333333334,1.6666666666666667,39.333333333333336,1,7.555555555555555
17,West Ham,L,Away,0,3,0.7,1.1,55,1.0,1.0,0.9,1.6666666666666667,54.0,-1,6.666666666666666
18,Liverpool,D,Away,1,1,0.7,1.0,48,2.0,1.3333333333333333,1.9666666666666668,0.6,58.666666666666664,0,8.444444444444445
18,Sheffield Utd,D,Home,1,1,0.9,0.6,77,1.3333333333333333,0.3333333333333333,1.433333333333333,0.8333333333333331,50.333333333333336,0,9.444444444444445
18,Nott'ham Forest,W,Away,3,2,1.6,1.0,66,3.0,1.0,1.866666666666667,1.366666666666667,44.0,1,9.444444444444445
18,Manchester City,L,Away,0,1,0.4,2.3,30,0.6666666666666666,1.6666666666666667,0.8666666666666667,1.2333333333333332,44.0,-1,4.444444444444445
18,Crystal Palace,D,Away,1,1,1.2,1.3,65,1.0,1.3333333333333333,1.5999999999999999,1.4666666666666668,61.333333333333336,0,6.333333333333333
18,Fulham,W,Away,2,0,0.4,1.3,34,0.3333333333333333,1.3333333333333333,0.7333333333333334,1.6000000000000003,46.0,1,5.222222222222222
18,Wolves,L,Away,1,2,2.0,1.3,68,1.0,1.3333333333333333,1.8333333333333333,1.8999999999999997,68.0,-1,6.222222222222222
18,Brighton,D,Home,1,1,1.3,1.2,35,1.0,2.0,1.5,1.5333333333333332,36.333333333333336,0,4.777777777777778
18,Tottenham,L,Away,1,2,1.8,1.5,39,2.3333333333333335,0.0,1.9666666666666666,1.0333333333333334,35.333333333333336,-1,9.11111111111111
18,Burnley,L,Home,0,2,1.3,0.4,66,3.3333333333333335,1.0,1.7,1.7,52.0,-1,7.111111111111112
18,Arsenal,D,Home,1,1,1.0,0.7,52,1.3333333333333333,0.3333333333333333,1.7333333333333334,1.1666666666666667,73.0,0,8.666666666666668
18,Newcastle Utd,W,Home,1,0,1.4,1.4,35,2.3333333333333335,3.3333333333333335,0.9333333333333332,2.033333333333333,36.666666666666664,1,4.222222222222222
18,Brentford,W,Home,1,0,2.3,0.4,70,1.3333333333333333,1.3333333333333333,1.266666666666667,1.4666666666666668,64.33333333333333,1,6.777777777777779
18,West Ham,L,Away,0,2,1.0,1.2,65,0.6666666666666666,1.3333333333333333,2.0,1.7666666666666668,48.333333333333336,-1,6.444444444444445
18,Luton Town,L,Away,0,1,1.4,1.4,65,1.3333333333333333,2.3333333333333335,2.233333333333333,2.4666666666666663,58.666666666666664,-1,7.111111111111112
18,Bournemouth,L,Home,2,3,1.0,1.6,34,0.3333333333333333,2.6666666666666665,0.9666666666666668,1.7333333333333334,34.333333333333336,-1,4.111111111111111
18,Aston Villa,D,Away,1,1,0.6,0.9,23,0.3333333333333333,1.3333333333333333,0.7333333333333333,1.8,29.333333333333332,0,4.888888888888888
18,Everton,W,Home,2,1,1.5,1.8,61,2.3333333333333335,1.0,2.3666666666666667,1.7333333333333334,65.33333333333333,1,7.222222222222222
18,Manchester Utd,W,Home,2,0,1.2,1.0,35,1.6666666666666667,2.0,1.5333333333333334,1.5999999999999999,36.0,1,7.888888888888888
18,Chelsea,W,Home,2,1,1.3,2.0,32,0.6666666666666666,1.3333333333333333,0.8999999999999999,1.1,58.0,1,5.444444444444444
19,West Ham,L,Home,0,2,2.7,1.4,73,1.0,0.6666666666666666,1.4666666666666666,0.7666666666666666,52.666666666666664,-1,7.777777777777778
19,Manchester Utd,L,Away,2,3,1.7,1.1,54,1.3333333333333333,0.6666666666666666,0.9666666666666663,0.8333333333333331,60.666666666666664,-1,8.666666666666668
19,Fulham,W,Home,3,0,1.8,0.3,43,3.3333333333333335,1.6666666666666667,1.8,1.366666666666667,52.333333333333336,1,9.555555555555555
19,Wolves,L,Home,1,4,2.2,2.4,60,0.3333333333333333,1.3333333333333333,0.5,1.4999999999999998,41.0,-1,4.222222222222222
19,Tottenham,W,Home,4,2,3.2,2.3,45,0.6666666666666666,1.3333333333333333,1.5,1.4000000000000001,62.666666666666664,1,6.0
19,Liverpool,L,Home,0,2,0.8,1.8,32,1.0,1.0,0.5666666666666668,1.7666666666666668,41.0,-1,6.666666666666666
19,Crystal Palace,W,Home,2,1,2.6,1.1,63,1.0,1.3333333333333333,2.0,0.9666666666666667,72.33333333333333,1,5.777777777777777
19,Chelsea,L,Away,1,2,1.1,2.6,37,1.3333333333333333,1.6666666666666667,1.5999999999999999,1.3333333333333333,28.333333333333332,-1,5.444444444444444
19,Manchester City,L,Home,1,3,1.0,2.4,28,1.6666666666666667,0.6666666666666666,1.4666666666666666,1.0333333333333332,35.666666666666664,-1,8.222222222222221
19,Bournemouth,L,Away,0,3,0.3,1.8,57,1.6666666666666667,1.6666666666666667,1.3,1.7333333333333334,53.0,-1,5.777777777777777
19,Burnley,W,Away,2,0,1.8,0.8,68,1.0,0.6666666666666666,1.5,1.0666666666666667,65.33333333333333,1,8.333333333333334
19,Sheffield Utd,W,Away,3,2,0.6,2.4,49,1.6666666666666667,2.0,1.2333333333333334,1.7666666666666666,37.0,1,5.111111111111111
19,Everton,W,Away,3,1,2.4,1.0,72,1.6666666666666667,1.0,1.8333333333333337,0.8333333333333334,69.66666666666667,1,7.666666666666667
19,Aston Villa,W,Home,3,2,1.1,1.7,46,0.0,1.6666666666666667,0.9666666666666668,1.666666666666667,55.0,1,5.222222222222222
19,Nott'ham Forest,L,Home,1,3,2.4,3.5,62,1.3333333333333333,1.6666666666666667,2.1999999999999997,1.8333333333333333,59.666666666666664,-1,5.777777777777777
19,Newcastle Utd,W,Away,3,1,3.5,2.4,38,1.0,2.0,1.2000000000000002,1.4333333333333333,33.333333333333336,1,4.0
19,Luton Town,L,Home,2,3,2.4,0.6,51,0.6666666666666666,1.0,0.6,1.5333333333333334,28.666666666666668,-1,5.555555555555555
19,Brighton,L,Away,2,4,2.3,3.2,55,2.6666666666666665,0.6666666666666666,2.2666666666666666,1.5999999999999999,61.0,-1,8.444444444444445
19,Arsenal,W,Away,2,0,1.4,2.7,27,1.6666666666666667,1.6666666666666667,1.2,1.3333333333333333,39.0,1,8.222222222222221
19,Brentford,W,Away,4,1,2.4,2.2,40,1.0,1.6666666666666667,1.0666666666666667,1.4666666666666668,51.666666666666664,1,6.888888888888889
20,Fulham,L,Away,1,2,1.6,1.2,60,1.0,1.0,1.8999999999999997,1.0333333333333332,56.666666666666664,-1,6.333333333333333
20,Burnley,W,Home,3,2,3.2,1.2,64,1.6666666666666667,1.6666666666666667,1.333333333333333,0.7333333333333333,65.66666666666667,1,7.444444444444445
20,Tottenham,L,Away,1,3,1.7,2.3,50,3.3333333333333335,1.6666666666666667,1.9000000000000004,1.1000000000000003,56.0,-1,10.0
20,Crystal Palace,L,Away,1,3,1.4,1.0,54,0.6666666666666666,2.3333333333333335,1.0333333333333334,2.033333333333333,41.333333333333336,-1,3.333333333333333
20,West Ham,D,Away,0,0,2.3,0.7,68,1.6666666666666667,1.6666666666666667,1.7,1.9666666666666668,53.666666666666664,0,7.333333333333333
20,Aston Villa,L,Away,2,3,1.2,3.2,36,0.6666666666666666,1.3333333333333333,0.6333333333333333,1.5000000000000002,42.333333333333336,-1,5.444444444444444
20,Luton Town,W,Away,3,2,1.5,2.3,48,1.6666666666666667,1.0,2.5666666666666664,0.9333333333333332,69.66666666666667,1,6.444444444444445
20,Brentford,W,Home,3,1,1.0,1.4,46,1.3333333333333333,1.6666666666666667,1.3999999999999997,1.8,32.666666666666664,1,4.777777777777778
20,Wolves,L,Away,0,3,0.4,1.9,47,1.3333333333333333,1.6666666666666667,1.3999999999999997,1.5333333333333332,35.333333333333336,-1,6.666666666666666
20,Arsenal,W,Home,2,1,1.2,1.6,40,0.0,2.6666666666666665,0.6333333333333334,1.8999999999999997,51.0,1,5.333333333333333
20,Newcastle Utd,W,Home,4,2,7.0,0.6,61,1.0,0.3333333333333333,1.7000000000000002,0.7666666666666666,62.666666666666664,1,8.555555555555555
20,Chelsea,L,Home,2,3,2.3,1.5,52,2.3333333333333335,2.0,1.3333333333333333,2.033333333333333,41.666666666666664,-1,6.666666666666666
20,Sheffield Utd,W,Home,2,0,2.2,0.3,80,2.0,1.0,2.1,1.0666666666666667,72.0,1,8.444444444444445
20,Nott'ham Forest,L,Away,1,2,0.8,0.7,56,1.0,1.3333333333333333,0.9666666666666668,1.7333333333333336,47.666666666666664,-1,6.666666666666666
20,Liverpool,L,Away,2,4,0.6,7.0,39,1.3333333333333333,1.3333333333333333,2.433333333333333,1.7333333333333334,65.66666666666667,-1,4.666666666666667
20,Manchester Utd,W,Home,2,1,0.7,0.8,44,1.6666666666666667,2.0,1.9333333333333336,1.8333333333333333,35.333333333333336,1,5.666666666666666
20,Manchester City,L,Away,0,2,0.3,2.2,20,1.0,2.0,1.133333333333333,1.5333333333333334,32.0,-1,5.222222222222222
20,Bournemouth,W,Home,3,1,2.3,1.7,50,2.0,1.6666666666666667,1.7666666666666666,2.1,60.666666666666664,1,7.333333333333333
20,Brighton,D,Home,0,0,0.7,2.3,32,2.3333333333333335,0.0,1.2333333333333332,1.4666666666666668,35.666666666666664,0,8.88888888888889
20,Everton,W,Home,3,0,1.9,0.4,53,2.0,1.6666666666666667,1.4666666666666666,1.7666666666666668,42.333333333333336,1,8.11111111111111
21,Crystal Palace,W,Home,5,0,3.3,0.3,60,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.2,60.333333333333336,1,5.111111111111111
21,Everton,D,Away,0,0,1.2,1.1,68,2.0,2.0,1.933333333333333,0.9666666666666665,65.0,0,7.777777777777778
21,Liverpool,L,Home,0,4,1.4,1.5,40,2.3333333333333335,1.6666666666666667,1.7000000000000004,1.2000000000000002,53.0,-1,8.222222222222221
21,Nott'ham Forest,W,Home,3,2,1.2,1.2,48,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.8999999999999997,48.0,1,3.333333333333333
21,Wolves,D,Home,0,0,1.0,1.1,72,1.6666666666666667,1.0,2.233333333333333,1.4333333333333333,59.333333333333336,0,6.888888888888889
21,Luton Town,D,Home,1,1,1.1,0.9,39,1.3333333333333333,1.6666666666666667,0.8000000000000002,2.1,34.0,0,5.111111111111111
21,Fulham,W,Home,1,0,2.2,0.8,55,2.0,1.6666666666666667,2.033333333333333,1.5666666666666664,59.666666666666664,1,7.777777777777778
21,Arsenal,L,Away,0,5,0.3,3.3,40,1.6666666666666667,1.3333333333333333,1.1333333333333333,1.7333333333333334,39.333333333333336,-1,6.333333333333333
21,Aston Villa,D,Home,0,0,1.1,1.2,32,0.6666666666666666,2.6666666666666665,1.0666666666666667,1.9333333333333333,38.0,0,5.333333333333333
21,Chelsea,L,Away,0,1,0.8,2.2,45,0.6666666666666666,2.0,0.9333333333333332,1.2666666666666666,54.333333333333336,-1,6.0
21,Bournemouth,W,Away,4,0,1.5,1.4,60,2.3333333333333335,1.0,3.266666666666667,0.7000000000000001,60.333333333333336,1,8.777777777777779
21,Burnley,D,Away,1,1,0.9,1.1,61,2.0,1.6666666666666667,1.4333333333333333,1.7666666666666666,45.333333333333336,0,6.222222222222222
21,Newcastle Utd,W,Away,3,2,3.0,1.3,72,2.0,0.3333333333333333,2.3000000000000003,0.5666666666666667,74.0,1,9.444444444444445
21,Tottenham,D,Home,2,2,0.8,1.2,37,1.3333333333333333,2.0,0.9666666666666668,1.2000000000000002,55.666666666666664,0,5.444444444444444
21,Manchester City,L,Home,2,3,1.3,3.0,28,1.0,2.6666666666666665,1.4666666666666666,3.966666666666667,55.333333333333336,-1,4.444444444444445
21,Brentford,L,Away,2,3,1.2,1.2,52,2.3333333333333335,1.6666666666666667,1.7333333333333334,1.5999999999999999,38.666666666666664,-1,7.111111111111112
21,West Ham,D,Home,2,2,2.5,2.3,57,1.0,2.0,1.0999999999999999,1.2333333333333334,31.333333333333332,0,4.888888888888888
21,Manchester Utd,D,Away,2,2,1.2,0.8,63,2.3333333333333335,2.0,2.033333333333333,2.2333333333333334,55.333333333333336,0,8.444444444444445
21,Sheffield Utd,D,Away,2,2,2.3,2.5,43,1.3333333333333333,0.0,1.0999999999999999,2.0,31.333333333333332,0,8.222222222222221
21,Brighton,D,Away,0,0,1.1,1.0,28,3.0,0.6666666666666666,1.8666666666666665,1.5333333333333334,41.666666666666664,0,8.444444444444445
22,Nott'ham Forest,W,Away,2,1,1.2,0.5,73,2.0,1.3333333333333333,2.533333333333333,0.9666666666666667,64.33333333333333,1,6.555555555555555
22,Newcastle Utd,L,Home,1,3,1.4,2.6,61,1.6666666666666667,1.6666666666666667,2.0333333333333328,1.133333333333333,62.0,-1,7.222222222222222
22,West Ham,D,Away,1,1,1.2,1.4,52,1.3333333333333333,2.3333333333333335,1.6333333333333335,1.366666666666667,44.333333333333336,0,6.666666666666666
22,Tottenham,L,Away,2,3,1.6,2.9,33,1.6666666666666667,3.0,1.5999999999999999,1.5333333333333332,54.0,-1,5.111111111111111
22,Luton Town,L,Away,0,4,0.9,3.1,59,1.3333333333333333,0.6666666666666666,2.1666666666666665,1.366666666666667,61.666666666666664,-1,6.888888888888889
22,Manchester City,L,Away,1,3,1.4,1.7,26,1.0,2.0,1.0333333333333334,1.966666666666667,35.666666666666664,-1,5.333333333333333
22,Liverpool,L,Away,1,4,0.6,2.9,50,2.0,1.0,2.1,1.3999999999999997,55.333333333333336,-1,8.88888888888889
22,Sheffield Utd,W,Home,3,2,1.1,0.8,53,1.3333333333333333,2.6666666666666665,0.7999999999999998,2.433333333333333,41.0,1,5.888888888888889
22,Fulham,D,Away,0,0,1.9,1.6,30,0.3333333333333333,2.0,0.8333333333333331,1.8333333333333333,35.666666666666664,0,5.111111111111111
22,Everton,D,Home,0,0,1.6,1.9,70,0.6666666666666666,1.6666666666666667,0.7666666666666666,1.8666666666666665,47.333333333333336,0,4.888888888888888
22,Chelsea,W,Home,4,1,2.9,0.6,50,3.3333333333333335,0.6666666666666666,3.4333333333333336,0.9333333333333332,63.0,1,9.0
22,Brighton,W,Home,4,0,3.1,0.9,41,2.0,2.0,1.2666666666666666,1.6666666666666667,54.0,1,6.666666666666666
22,Burnley,W,Home,3,1,1.7,1.4,74,2.6666666666666665,1.0,2.5333333333333337,0.8666666666666666,74.66666666666667,1,9.555555555555555
22,Wolves,W,Away,4,3,3.3,2.1,47,2.0,2.0,0.9,1.2000000000000002,46.333333333333336,1,6.0
22,Aston Villa,W,Away,3,1,2.6,1.4,39,1.6666666666666667,3.3333333333333335,1.433333333333333,4.5,43.0,1,4.222222222222222
22,Arsenal,L,Home,1,2,0.5,1.2,27,2.3333333333333335,1.6666666666666667,1.8,1.4666666666666668,44.666666666666664,-1,6.222222222222222
22,Crystal Palace,L,Away,2,3,0.8,1.1,47,1.3333333333333333,2.3333333333333335,1.7333333333333332,1.7,42.666666666666664,-1,4.777777777777778
22,Brentford,W,Home,3,2,2.9,1.6,67,2.3333333333333335,2.3333333333333335,1.9333333333333333,1.9000000000000001,56.0,1,7.777777777777778
22,Bournemouth,D,Home,1,1,1.4,1.2,48,1.3333333333333333,0.6666666666666666,1.4666666666666668,2.5,34.0,0,8.333333333333334
22,Manchester Utd,L,Home,3,4,2.1,3.3,53,2.3333333333333335,0.3333333333333333,1.8,1.2,40.333333333333336,-1,8.222222222222221
23,Liverpool,W,Home,3,1,3.5,0.4,43,2.6666666666666665,1.0,2.033333333333333,0.6666666666666666,64.33333333333333,1,7.111111111111112
23,Sheffield Utd,W,Away,5,0,2.2,1.4,63,1.3333333333333333,1.6666666666666667,1.933333333333333,1.6333333333333335,64.33333333333333,1,5.888888888888889
23,Nott'ham Forest,D,Home,1,1,1.3,0.5,45,0.6666666666666666,2.6666666666666665,1.4333333333333336,1.7333333333333336,47.333333333333336,0,6.222222222222222
23,Manchester City,L,Home,1,3,1.0,2.1,28,2.0,2.6666666666666665,1.4000000000000001,1.7,45.0,-1,4.888888888888888
23,Crystal Palace,W,Home,4,1,1.4,0.3,68,0.0,1.3333333333333333,1.4000000000000001,1.6333333333333335,66.33333333333333,1,6.333333333333333
23,Fulham,D,Home,2,2,1.8,1.5,44,1.3333333333333333,2.3333333333333335,1.2333333333333334,1.9333333333333338,33.666666666666664,0,5.0
23,Wolves,L,Home,2,4,1.7,2.0,64,1.6666666666666667,2.0,1.4333333333333333,2.0,51.0,-1,7.333333333333333
23,Brighton,L,Away,1,4,0.3,1.4,32,2.0,2.6666666666666665,0.7999999999999999,1.8333333333333333,46.333333333333336,-1,6.888888888888889
23,Tottenham,D,Home,2,2,2.6,1.0,43,0.0,1.0,1.133333333333333,1.5666666666666667,36.333333333333336,0,5.0
23,Burnley,D,Away,2,2,1.5,1.8,56,0.6666666666666666,0.6666666666666666,1.2,1.8999999999999997,51.666666666666664,0,5.555555555555555
23,Arsenal,L,Away,1,3,0.4,3.5,57,4.0,1.0,3.8000000000000003,0.8666666666666667,57.0,-1,9.555555555555555
23,Newcastle Utd,D,Away,4,4,2.4,2.3,45,2.3333333333333335,1.3333333333333333,2.1,1.1666666666666667,51.333333333333336,0,7.888888888888888
23,Brentford,W,Away,3,1,2.1,1.0,72,2.6666666666666665,1.0,2.3000000000000003,1.0,75.33333333333333,1,10.0
23,West Ham,W,Home,3,0,0.7,1.4,51,2.3333333333333335,2.3333333333333335,1.6333333333333335,1.3333333333333337,46.666666666666664,1,7.0
23,Luton Town,D,Home,4,4,2.3,2.4,55,2.3333333333333335,2.6666666666666665,1.5,3.8000000000000003,35.333333333333336,0,5.111111111111111
23,Bournemouth,D,Away,1,1,0.5,1.3,55,1.6666666666666667,2.0,0.8000000000000002,1.0666666666666667,41.0,0,5.777777777777777
23,Aston Villa,L,Home,0,5,1.4,2.2,37,1.3333333333333333,2.3333333333333335,1.2,1.866666666666667,41.333333333333336,-1,4.555555555555555
23,Everton,D,Away,2,2,1.0,2.6,57,2.6666666666666665,1.6666666666666667,2.1333333333333333,1.3666666666666665,60.0,0,8.11111111111111
23,Manchester Utd,L,Away,0,3,1.4,0.7,49,1.0,1.0,1.4666666666666668,2.0,41.0,-1,7.666666666666667
23,Chelsea,W,Away,4,2,2.0,1.7,36,2.0,1.3333333333333333,1.7,1.5666666666666664,44.666666666666664,1,7.444444444444445
24,West Ham,W,Away,6,0,3.6,0.2,70,3.3333333333333335,0.6666666666666666,2.6666666666666665,0.39999999999999997,58.666666666666664,1,8.0
24,Manchester Utd,L,Home,1,2,2.4,1.8,56,2.0,1.0,1.5999999999999996,1.7,64.0,-1,6.888888888888889
24,Fulham,L,Away,1,3,1.8,1.6,51,0.6666666666666666,2.0,1.3000000000000003,1.1333333333333335,45.666666666666664,-1,5.888888888888889
24,Wolves,W,Away,2,0,1.9,1.0,29,2.0,2.6666666666666665,1.2666666666666666,2.0666666666666664,36.333333333333336,1,4.666666666666667
24,Tottenham,L,Away,1,2,1.2,1.6,48,1.3333333333333333,1.6666666666666667,1.0999999999999999,1.5,66.33333333333333,-1,7.222222222222222
24,Liverpool,L,Away,1,3,1.3,2.8,30,1.3333333333333333,2.0,1.4333333333333336,1.3666666666666671,36.333333333333336,-1,4.888888888888888
24,Crystal Palace,W,Away,3,1,1.4,0.6,77,1.3333333333333333,2.6666666666666665,1.5,1.8999999999999997,56.333333333333336,1,6.666666666666666
24,Chelsea,L,Home,1,3,0.6,1.4,23,1.3333333333333333,3.6666666666666665,0.5666666666666667,1.8333333333333333,41.666666666666664,-1,6.0
24,Manchester City,L,Away,0,2,0.3,1.6,28,0.6666666666666666,0.6666666666666666,1.8666666666666665,1.2666666666666666,35.0,-1,5.666666666666666
24,Bournemouth,W,Home,3,1,1.6,1.8,49,0.6666666666666666,1.0,1.3,1.9666666666666668,57.0,1,6.111111111111112
24,Burnley,W,Home,3,1,2.8,1.3,70,3.0,1.3333333333333333,1.6000000000000003,1.8333333333333333,55.666666666666664,1,8.222222222222221
24,Sheffield Utd,L,Home,1,3,1.8,1.7,74,3.0,1.6666666666666667,2.1333333333333333,1.4333333333333333,49.0,-1,7.333333333333333
24,Everton,W,Home,2,0,1.6,0.3,72,3.0,1.3333333333333333,2.266666666666667,1.2333333333333334,72.66666666666667,1,10.0
24,Aston Villa,W,Away,2,1,1.8,2.4,44,3.0,1.6666666666666667,1.5999999999999999,1.566666666666667,45.0,1,8.222222222222221
24,Nott'ham Forest,W,Away,3,2,0.5,1.5,61,3.0,2.6666666666666665,2.0666666666666664,2.2666666666666666,40.666666666666664,1,5.777777777777777
24,Newcastle Utd,L,Home,2,3,1.5,0.5,39,1.3333333333333333,2.0,0.7333333333333334,1.2333333333333334,44.666666666666664,-1,6.222222222222222
24,Luton Town,W,Away,3,1,1.7,1.8,26,1.3333333333333333,3.3333333333333335,1.5666666666666667,1.8666666666666665,47.0,1,4.0
24,Brighton,W,Home,2,1,1.6,1.2,52,2.3333333333333335,2.0,1.7,1.6666666666666667,62.333333333333336,1,7.555555555555555
24,Arsenal,L,Home,0,6,0.2,3.6,30,1.0,2.0,1.7,1.4666666666666668,46.666666666666664,-1,6.222222222222222
24,Brentford,L,Home,0,2,1.0,1.9,71,2.3333333333333335,2.0,1.7333333333333332,1.9999999999999998,39.0,-1,7.777777777777778
25,Burnley,W,Away,5,0,2.3,0.3,64,3.6666666666666665,0.6666666666666666,2.766666666666666,0.3666666666666667,62.0,1,9.11111111111111
25,Fulham,W,Away,2,1,1.5,1.5,48,2.3333333333333335,1.6666666666666667,1.9999999999999998,1.9333333333333333,60.0,1,6.333333333333333
25,Newcastle Utd,D,Away,2,2,2.2,2.2,38,1.0,1.6666666666666667,1.4333333333333336,1.166666666666667,49.333333333333336,0,4.777777777777778
25,Liverpool,L,Home,1,4,1.6,2.8,38,1.6666666666666667,2.0,1.5,1.9999999999999998,30.0,-1,6.222222222222222
25,Sheffield Utd,W,Away,5,0,2.9,0.6,79,1.6666666666666667,2.3333333333333335,1.1666666666666667,1.666666666666667,58.333333333333336,1,5.888888888888889
25,Arsenal,L,Home,0,5,0.3,2.3,36,1.3333333333333333,2.6666666666666665,1.5,2.0000000000000004,33.333333333333336,-1,4.666666666666667
25,Manchester City,D,Away,1,1,1.4,2.6,30,2.0,3.0,1.2333333333333332,1.8333333333333333,63.666666666666664,0,7.111111111111112
25,Everton,D,Away,1,1,0.7,1.7,39,1.6666666666666667,3.0,0.6666666666666666,1.2000000000000002,36.0,0,5.555555555555555
25,Crystal Palace,D,Home,1,1,1.7,0.7,61,0.6666666666666666,1.3333333333333333,1.5999999999999999,1.4000000000000001,33.666666666666664,0,5.333333333333333
25,Aston Villa,L,Home,1,2,1.5,1.5,52,1.6666666666666667,1.0,1.5666666666666667,1.8333333333333333,58.333333333333336,-1,7.444444444444445
25,Brentford,W,Away,4,1,2.8,1.6,62,2.6666666666666665,1.6666666666666667,2.0333333333333337,1.7999999999999998,59.0,1,8.444444444444445
25,Manchester Utd,L,Home,1,2,1.8,2.9,58,3.0,2.3333333333333335,2.433333333333333,1.633333333333333,53.333333333333336,-1,6.0
