Round,Opponent,Result,Venue,GF,GA,xG,xGA,Poss,Avg_GF,Avg_GA,Avg_xG,Avg_xGA,Avg_Poss,Label,Form_Score
9,Luton Town,D,Home,2,2,2.9,1.7,57,0.3333333333333333,1.0,0.8333333333333334,1.2333333333333334,44.0,0,6.444444444444445
9,Manchester Utd,L,Home,1,2,1.4,1.1,38,0.3333333333333333,4.333333333333333,0.8666666666666666,2.733333333333334,43.333333333333336,-1,3.7777777777777777
9,Fulham,W,Home,2,0,1.5,1.0,55,1.6666666666666667,1.0,1.8333333333333333,1.3,61.0,1,9.333333333333334
9,Aston Villa,L,Away,1,4,1.1,1.9,42,1.6666666666666667,1.6666666666666667,1.4666666666666668,2.033333333333333,41.666666666666664,-1,6.666666666666666
9,Bournemouth,W,Away,2,1,2.4,0.6,65,1.3333333333333333,1.0,0.8999999999999999,1.5333333333333332,40.666666666666664,1,6.444444444444445
10,Sheffield Utd,W,Home,5,0,2.8,0.0,67,2.3333333333333335,0.6666666666666666,1.6000000000000003,0.7999999999999999,54.0,1,8.555555555555555
10,Luton Town,W,Home,3,1,2.3,0.5,70,3.6666666666666665,1.0,1.7,1.5,50.0,1,9.222222222222223
10,Burnley,W,Home,2,1,1.1,0.8,45,0.3333333333333333,3.0,0.6333333333333334,2.733333333333333,43.333333333333336,1,3.7777777777777777
10,Chelsea,W,Away,2,0,2.2,1.9,32,1.6666666666666667,1.0,1.8666666666666665,0.9999999999999999,48.333333333333336,1,5.777777777777777
10,Fulham,D,Home,1,1,1.4,0.7,71,1.3333333333333333,3.3333333333333335,1.5999999999999999,1.5666666666666667,50.666666666666664,0,6.111111111111112
10,Bournemouth,L,Away,1,2,0.8,1.1,55,0.3333333333333333,3.0,0.7999999999999999,2.7000000000000006,45.0,-1,3.7777777777777777
10,Brentford,L,Home,0,2,1.9,2.2,68,2.6666666666666665,1.0,1.6333333333333335,0.9333333333333332,50.0,-1,7.555555555555555
10,Tottenham,L,Home,1,2,0.6,1.1,25,0.3333333333333333,1.3333333333333333,0.9666666666666665,1.5666666666666664,38.666666666666664,-1,6.0
10,West Ham,W,Away,1,0,0.8,0.7,36,1.3333333333333333,1.3333333333333333,1.7999999999999998,1.2666666666666668,46.0,1,6.0
10,Brighton,D,Away,1,1,0.7,1.4,29,1.0,1.6666666666666667,1.4333333333333336,1.2666666666666668,53.666666666666664,0,6.333333333333333
10,Nott'ham Forest,W,Home,3,0,3.2,0.4,72,1.6666666666666667,1.3333333333333333,1.9333333333333336,1.5333333333333334,55.666666666666664,1,7.888888888888888
