Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
Matchweek 1,Home,D,1.0,1.0,West Ham United,1.3,1.1,62.0
Matchweek 2,Away,L,1.0,3.0,Liverpool,1.3,3.0,36.0
Matchweek 3,Home,L,0.0,2.0,Tottenham Hotspur,0.7,2.1,44.0
Matchweek 4,Away,D,2.0,2.0,Brentford,2.1,2.9,40.0
Matchweek 5,Home,D,0.0,0.0,Chelsea,1.0,1.8,36.0
Matchweek 6,Away,L,1.0,3.0,Brighton & Hove Albion,1.1,1.9,39.0
Matchweek 7,Home,L,0.0,4.0,Arsenal,0.6,3.4,43.0
Matchweek 8,Away,L,0.0,3.0,Everton,0.7,2.4,52.0
Matchweek 9,Home,L,1.0,2.0,Wolverhampton Wanderers,0.6,2.4,35.0
Matchweek 10,Home,W,2.0,1.0,Burnley,1.1,0.8,45.0
Matchweek 11,Away,L,1.0,6.0,Manchester City,0.9,1.9,35.0
Matchweek 12,Home,W,2.0,0.0,Newcastle United,2.4,0.5,48.0
Matchweek 13,Away,W,3.0,1.0,Sheffield United,2.9,0.8,54.0
Matchweek 14,Home,D,2.0,2.0,Aston Villa,2.0,0.7,38.0
Matchweek 15,Away,W,2.0,0.0,Crystal Palace,1.8,1.0,41.0
Matchweek 16,Away,W,3.0,0.0,Manchester United,1.5,1.1,32.0
Matchweek 18,Away,W,3.0,2.0,Nottingham Forest,1.6,1.0,66.0
Matchweek 19,Home,W,3.0,0.0,Fulham,1.8,0.3,43.0
Matchweek 20,Away,L,1.0,3.0,Tottenham Hotspur,1.7,2.3,50.0
Matchweek 21,Home,L,0.0,4.0,Liverpool,1.4,1.5,40.0
Matchweek 22,Away,D,1.0,1.0,West Ham United,1.2,1.4,52.0
Matchweek 23,Home,D,1.0,1.0,Nottingham Forest,1.3,0.5,45.0
Matchweek 24,Away,L,1.0,3.0,Fulham,1.8,1.6,51.0
Matchweek 25,Away,D,2.0,2.0,Newcastle United,2.2,2.2,38.0
Matchweek 26,Home,L,0.0,1.0,Manchester City,0.9,1.6,38.0
Matchweek 27,Away,W,2.0,0.0,Burnley,1.1,1.5,26.0
Matchweek 28,Home,D,2.0,2.0,Sheffield United,3.3,1.2,69.0
Matchweek 17,Home,W,4.0,3.0,Luton Town,2.3,2.0,59.0
Matchweek 30,Home,W,2.0,1.0,Everton,1.3,1.0,48.0
Matchweek 31,Home,W,1.0,0.0,Crystal Palace,1.1,0.2,50.0
Matchweek 32,Away,L,1.0,2.0,Luton Town,0.4,1.5,45.0
Matchweek 33,Home,D,2.0,2.0,Manchester United,1.6,1.2,43.0
Matchweek 34,Away,L,1.0,3.0,Aston Villa,1.8,2.4,44.0
Matchweek 29,Away,W,1.0,0.0,Wolverhampton Wanderers,1.9,0.5,37.0
Matchweek 35,Home,W,3.0,0.0,Brighton & Hove Albion,1.9,0.9,31.0
Matchweek 36,Away,L,0.0,3.0,Arsenal,0.5,3.3,45.0
Matchweek 37,Home,L,1.0,2.0,Brentford,0.7,1.1,48.0
Matchweek 38,Away,,,,Chelsea,,,
