,Round_home,Team_home,Opponent_home,Result_home,Venue_home,GF_home,GA_home,xG_home,xGA_home,Poss_home,Avg_GF_home,Avg_GA_home,Avg_xG_home,Avg_xGA_home,Avg_Poss_home,Label_home,Form_home,Opponent_Match_ID,Round_away,Team_away,Opponent_away,Result_away,Venue_away,GF_away,GA_away,xG_away,xGA_away,Poss_away,Avg_GF_away,Avg_GA_away,Avg_xG_away,Avg_xGA_away,Avg_Poss_away,Label_away,Form_away,Match_ID,Label
11-Brentford-West-Ham-United,11,Brentford,West-Ham-United,W,Home,3,2,1.5,1.8,58,2.0,0.6666666666666666,2.066666666666667,1.4666666666666666,39.333333333333336,1,8.222222222222221,11-West-Ham-United-Brentford,11,West-Ham-United,Brentford,L,Away,2,3,1.8,1.5,42,1.0,2.3333333333333335,1.0,1.5666666666666667,47.333333333333336,-1,4.222222222222222,11-West-Ham-United-Brentford,1
11-Burnley-Crystal-Palace,11,Burnley,Crystal-Palace,L,Home,0,2,1.1,1.3,67,0.6666666666666666,3.0,0.8666666666666666,2.0333333333333337,47.666666666666664,-1,3.333333333333333,11-Crystal-Palace-Burnley,11,Crystal-Palace,Burnley,W,Away,2,0,1.3,1.1,33,0.3333333333333333,2.0,0.8666666666666666,1.5,39.333333333333336,1,4.222222222222222,11-Crystal-Palace-Burnley,-1
11-Everton-Brighton-and-Hove-Albion,11,Everton,Brighton-and-Hove-Albion,D,Home,1,1,0.7,0.5,21,1.3333333333333333,0.6666666666666666,1.0999999999999999,1.2000000000000002,35.666666666666664,0,7.777777777777778,11-Brighton-and-Hove-Albion-Everton,11,Brighton-and-Hove-Albion,Everton,D,Away,1,1,0.5,0.7,79,1.3333333333333333,1.6666666666666667,1.4999999999999998,1.2666666666666666,54.0,0,5.555555555555555,11-Brighton-and-Hove-Albion-Everton,0
11-Fulham-Manchester-United,11,Fulham,Manchester-United,L,Home,0,1,1.0,0.7,45,1.3333333333333333,1.3333333333333333,1.3,1.1666666666666667,44.666666666666664,-1,6.444444444444445,11-Manchester-United-Fulham,11,Manchester-United,Fulham,W,Away,1,0,0.7,1.0,55,1.3333333333333333,1.6666666666666667,1.1333333333333335,2.1,55.333333333333336,1,7.333333333333333,11-Manchester-United-Fulham,-1
11-Luton-Town-Liverpool,11,Luton-Town,Liverpool,D,Home,1,1,0.8,2.6,27,1.0,2.0,1.0,2.3666666666666667,35.666666666666664,0,4.444444444444445,11-Liverpool-Luton-Town,11,Liverpool,Luton-Town,D,Away,1,1,2.6,0.8,73,2.3333333333333335,0.6666666666666666,2.566666666666667,0.9333333333333332,67.66666666666667,0,9.11111111111111,11-Liverpool-Luton-Town,0
11-Manchester-City-Bournemouth,11,Manchester-City,Bournemouth,W,Home,6,1,1.9,0.9,65,1.6666666666666667,0.6666666666666666,1.7666666666666668,0.7000000000000001,55.333333333333336,1,8.222222222222221,11-Bournemouth-Manchester-City,11,Bournemouth,Manchester-City,L,Away,1,6,0.9,1.9,35,1.0,2.0,0.8000000000000002,1.866666666666667,44.0,-1,6.0,11-Bournemouth-Manchester-City,1
11-Newcastle-United-Arsenal,11,Newcastle-United,Arsenal,W,Home,1,0,1.0,0.6,42,2.6666666666666665,1.3333333333333333,2.2,1.0999999999999999,60.0,1,7.777777777777778,11-Arsenal-Newcastle-United,11,Arsenal,Newcastle-United,L,Away,0,1,0.6,1.0,58,2.6666666666666665,0.6666666666666666,1.3999999999999997,0.6,57.333333333333336,-1,8.88888888888889,11-Arsenal-Newcastle-United,1
11-Nottingham-Forest-Aston-Villa,11,Nottingham-Forest,Aston-Villa,W,Home,2,0,0.4,1.2,27,0.6666666666666666,1.6666666666666667,1.4333333333333333,1.9000000000000001,44.333333333333336,1,5.333333333333333,11-Aston-Villa-Nottingham-Forest,11,Aston-Villa,Nottingham-Forest,L,Away,0,2,1.2,0.4,73,2.6666666666666665,1.0,1.933333333333333,1.0999999999999999,60.333333333333336,-1,9.11111111111111,11-Aston-Villa-Nottingham-Forest,1
11-Sheffield-United-Wolverhampton-Wanderers,11,Sheffield-United,Wolverhampton-Wanderers,W,Home,2,1,1.0,1.2,39,0.6666666666666666,3.3333333333333335,0.6666666666666665,2.033333333333333,37.0,1,3.333333333333333,11-Wolverhampton-Wanderers-Sheffield-United,11,Wolverhampton-Wanderers,Sheffield-United,L,Away,1,2,1.2,1.0,61,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.4666666666666668,51.666666666666664,-1,7.777777777777778,11-Wolverhampton-Wanderers-Sheffield-United,1
12-Arsenal-Burnley,12,Arsenal,Burnley,W,Home,3,1,1.8,0.3,63,2.3333333333333335,1.0,1.4666666666666666,0.7666666666666666,60.333333333333336,1,6.444444444444445,12-Burnley-Arsenal,12,Burnley,Arsenal,L,Away,1,3,0.3,1.8,37,0.3333333333333333,2.3333333333333335,1.0,1.8333333333333337,57.333333333333336,-1,3.333333333333333,12-Burnley-Arsenal,1
